Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
114,Mamadi Diakite,PF,27,SAS,3,0,5.3,1.3,1.7,.800,0.0,0.0,,1.3,1.7,.800,.800,1.3,2.0,.667,0.3,0.7,1.0,0.7,0.0,0.3,0.0,0.3,4.0,2024
115,Hamidou Diallo,SG,25,WAS,2,0,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,1.0,0.0,1.0,0.5,1.0,0.0,0.5,0.5,1.0,2024
116,Gradey Dick,SG,20,TOR,23,1,12.6,1.1,3.5,.321,0.7,2.4,.291,0.4,1.1,.385,.420,0.7,0.7,1.000,0.3,0.9,1.2,1.0,0.4,0.0,0.7,1.2,3.6,2024
117,Ousmane Dieng,PF,20,OKC,22,0,11.4,1.5,3.5,.423,0.7,2.4,.308,0.8,1.2,.654,.526,0.5,0.5,.833,0.4,1.5,1.9,0.9,0.1,0.0,0.5,0.7,4.2,2024
118,Spencer Dinwiddie,PG,30,BRK,40,40,30.8,4.3,10.9,.399,2.0,6.1,.333,2.3,4.8,.482,.492,2.9,3.6,.786,0.6,3.0,3.6,6.1,0.9,0.2,1.5,1.7,13.5,2024
119,Donte DiVincenzo,SG,27,NYK,43,25,22.2,3.9,8.6,.459,2.6,6.2,.421,1.3,2.4,.559,.611,0.9,1.2,.712,0.7,2.4,3.1,2.2,1.1,0.3,1.1,1.9,11.3,2024
120,Luka Dončić,PG,24,DAL,36,36,36.9,11.4,23.7,.482,3.9,10.3,.374,7.6,13.4,.566,.564,6.8,8.8,.773,0.8,7.7,8.5,9.3,1.4,0.6,3.9,1.8,33.6,2024
121,Luguentz Dort,SF,24,OKC,40,40,28.8,3.8,8.3,.462,2.0,4.7,.425,1.9,3.6,.510,.582,1.8,2.2,.816,1.3,2.7,4.0,1.4,0.9,0.8,0.9,3.1,11.4,2024
122,Ayo Dosunmu,SG,24,CHI,43,6,23.3,3.4,7.0,.482,1.0,2.8,.369,2.3,4.2,.558,.556,0.9,1.2,.800,0.7,1.8,2.5,2.1,0.7,0.4,0.9,1.9,8.8,2024
123,Andre Drummond,C,30,CHI,45,7,15.9,3.0,5.6,.548,0.0,0.0,.000,3.0,5.5,.552,.548,1.5,2.7,.554,3.3,5.1,8.4,0.6,1.2,0.6,1.1,1.7,7.6,2024
124,Chris Duarte,SF,26,SAC,34,11,13.5,1.3,3.7,.360,0.6,2.0,.313,0.7,1.7,.414,.444,0.5,0.7,.750,0.4,1.5,1.9,0.9,0.5,0.1,0.6,1.8,3.8,2024
125,Kris Dunn,PG,29,UTA,36,18,17.6,2.1,4.4,.475,0.5,1.3,.375,1.6,3.1,.518,.532,0.3,0.5,.667,0.6,2.3,2.9,4.3,0.9,0.4,1.2,1.9,5.0,2024
126,Kevin Durant,PF,35,PHO,36,36,37.1,10.5,19.8,.531,2.4,5.1,.464,8.1,14.7,.554,.591,6.2,7.0,.881,0.5,5.8,6.3,5.6,0.9,1.2,3.2,1.9,29.6,2024
127,Jalen Duren,C,20,DET,28,27,29.9,6.2,9.8,.631,0.0,0.1,.000,6.2,9.7,.636,.631,1.6,2.3,.703,3.2,8.3,11.5,2.5,0.4,0.9,2.1,3.3,14.0,2024
128,Tari Eason,PF,22,HOU,22,0,21.8,4.0,8.6,.466,0.8,2.3,.360,3.2,6.3,.504,.513,1.0,1.5,.636,2.1,4.9,7.0,1.2,1.4,0.9,0.9,2.3,9.8,2024
129,Anthony Edwards,SG,22,MIN,40,40,34.8,8.8,19.0,.464,2.4,6.3,.377,6.4,12.7,.507,.526,5.5,6.6,.840,0.7,4.7,5.4,5.2,1.2,0.6,3.4,1.9,25.5,2024
130,Kessler Edwards,SF,23,SAC,28,0,4.9,0.6,1.5,.415,0.3,0.9,.360,0.3,0.6,.500,.524,0.1,0.1,.750,0.2,0.6,0.8,0.3,0.1,0.1,0.0,0.4,1.6,2024
131,Keon Ellis,SG,24,SAC,28,3,12.2,1.3,3.0,.434,0.9,2.4,.382,0.4,0.5,.667,.590,0.4,0.6,.647,0.3,1.0,1.3,1.3,0.5,0.4,0.5,1.4,3.9,2024
132,Joel Embiid,C,29,PHI,32,32,34.3,12.1,22.4,.539,1.2,3.2,.363,10.9,19.2,.568,.565,10.8,12.2,.887,2.7,8.8,11.6,5.9,1.2,1.9,3.6,2.9,36.1,2024
133,Drew Eubanks,C,26,PHO,37,2,15.8,2.2,3.7,.599,0.1,0.1,1.000,2.1,3.6,.590,.609,1.1,1.5,.764,1.4,2.8,4.2,0.9,0.3,0.8,1.0,1.8,5.6,2024
134,Dante Exum,PG,28,DAL,30,14,19.5,3.7,6.4,.575,0.9,2.1,.452,2.8,4.4,.634,.648,1.0,1.3,.750,0.6,2.3,2.9,2.9,0.6,0.2,0.9,1.6,9.3,2024
