Player,G,MP,TRB,AST,STL,BLK,TOV,PTS,FantasyPoints
Mario Hezonja,5.0,13.6,3.2,1.2,0.6,0.0,0.6,4.6,11.4
Markelle Fultz,5.0,29.4,2.2,5.2,1.0,0.6,2.6,12.0,24.6
Markieff Morris,8.7,10.3,1.7,0.6,0.1,0.1,0.8,2.7,5.6
Markus Howard,9.0,12.4,0.8,0.4,0.0,0.1,0.0,4.7,6.6
Marquese Chriss,8.0,3.8,1.1,0.0,0.0,0.0,0.1,1.8,3.0
Marvin Williams,10.0,17.9,4.8,0.9,0.5,0.3,0.3,5.5,14.7
Mason Plumlee,12.0,14.5,5.0,1.6,0.3,0.4,0.6,5.3,15.1
Matisse Thybulle,8.3,17.4,1.4,0.4,1.0,0.7,0.3,3.4,10.2
Matt Thomas,6.5,5.4,0.8,0.4,0.0,0.0,0.0,1.6,3.3
Max Christie,9.0,3.7,0.8,0.3,0.0,0.1,0.0,1.4,3.1
Max Strus,14.3,20.1,2.6,1.2,0.4,0.2,0.5,6.7,12.9
Maxi Kleber,10.3,28.6,4.9,1.3,0.3,0.7,0.5,6.9,17.2
Meyers Leonard,2.5,6.4,0.4,0.5,0.2,0.0,0.0,2.4,4.0
Michael Frazier,4.0,3.0,1.0,0.5,0.0,0.0,0.3,0.8,2.4
Michael Kidd-Gilchrist,6.0,9.2,1.0,0.5,0.2,0.2,0.2,2.3,5.2
Michael Porter Jr.,16.3,29.9,7.0,1.2,0.8,0.4,1.1,14.1,26.7
Mikal Bridges,13.0,36.6,4.8,2.8,0.9,0.7,1.2,16.0,29.5
Mike Conley,5.5,32.0,3.0,6.0,0.8,0.2,1.7,14.1,28.2
Mike James,9.0,11.4,1.8,1.3,0.2,0.0,0.3,3.7,8.1
Mike Muscala,4.0,6.8,1.4,0.4,0.0,0.0,0.1,1.5,3.5
Mike Scott,4.5,5.9,1.3,0.4,0.1,0.1,0.0,1.4,4.2
Miles McBride,8.0,2.5,0.3,0.1,0.0,0.1,0.0,0.4,1.2
Mitchell Robinson,11.0,27.1,9.3,0.8,0.6,1.5,0.9,6.5,24.3
Miye Oni,5.0,6.0,1.2,0.0,0.3,0.2,0.2,1.8,4.6
Mo Bamba,3.0,3.3,1.0,0.3,0.0,0.3,0.0,0.0,2.6
Monte Morris,11.3,27.1,2.0,4.5,0.9,0.1,0.9,12.3,23.7
Montrezl Harrell,6.3,10.7,2.0,0.1,0.3,0.2,0.5,5.4,8.9
Moses Moody,12.5,10.8,1.6,0.5,0.3,0.2,0.2,4.5,8.6
Myles Turner,4.0,36.5,10.8,0.8,0.5,4.0,2.3,15.8,41.2
Naji Marshall,6.0,9.3,1.0,0.8,0.2,0.2,0.5,3.0,6.1
Nassir Little,3.0,3.0,0.3,0.0,0.0,0.3,0.3,1.7,2.7
Nathan Knight,4.0,2.4,0.8,0.0,0.0,0.2,0.2,0.8,2.0
Naz Reid,5.0,10.8,2.8,0.0,0.2,1.2,1.0,4.8,11.4
Nemanja Bjelica,8.5,12.5,2.3,1.0,0.6,0.3,0.2,6.0,12.9
Nerlens Noel,6.0,16.2,4.0,0.3,0.6,0.6,0.6,3.8,12.2
Nic Claxton,6.7,21.5,5.7,1.2,0.6,1.7,0.5,7.8,22.9
Nickeil Alexander-Walker,3.0,17.3,1.5,1.2,0.8,0.1,0.4,6.7,12.6
Nicolas Batum,12.0,23.8,3.8,1.6,0.8,0.4,0.4,6.2,16.9
Nicolò Melli,3.0,6.3,2.0,0.0,0.3,0.0,0.0,0.0,3.3
Nigel Williams-Goss,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5
Nik Stauskas,13.0,1.8,0.3,0.3,0.0,0.0,0.0,1.0,1.8
Nikola Jokić,13.5,36.2,12.0,6.5,1.1,0.9,3.5,28.8,55.6
Nikola Jović,7.0,1.9,0.7,0.0,0.0,0.0,0.0,0.3,1.1
Nikola Vučević,5.0,36.6,11.7,3.6,0.6,0.9,2.1,23.7,45.5
Noah Vonleh,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norman Powell,7.3,31.4,2.5,1.7,0.7,0.6,1.3,17.4,25.6
Norvel Pelle,1.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0
OG Anunoby,8.5,36.0,5.4,1.8,1.0,0.7,1.6,13.9,26.7
Obi Toppin,8.0,14.4,3.0,0.5,0.4,0.2,0.6,6.7,12.3
Omer Yurtseven,8.5,3.1,0.7,0.2,0.0,0.1,0.0,1.6,3.0
Onyeka Okongwu,9.7,17.5,4.8,0.6,0.5,0.9,0.7,4.6,14.7
Otto Porter Jr.,19.0,19.5,3.4,1.8,0.9,0.3,0.6,5.4,15.2
P.J. Tucker,16.0,29.8,5.6,1.5,1.0,0.2,0.6,6.2,18.3
PJ Dozier,7.5,6.2,1.1,0.5,0.1,0.1,0.4,3.0,5.3
Pascal Siakam,8.5,40.6,7.4,4.8,1.2,0.7,2.1,19.9,39.4
Pat Connaughton,12.2,22.3,4.4,1.2,0.5,0.3,0.5,8.1,16.9
Patrick Baldwin Jr.,3.0,3.7,1.0,0.3,0.0,0.0,0.0,0.0,1.6
Patrick Beverley,10.3,24.0,3.2,2.9,1.0,0.8,1.0,7.4,19.7
Patrick Patterson,2.0,5.0,0.5,2.0,0.0,0.0,0.0,4.5,8.1
Patrick Williams,5.0,30.6,5.4,0.8,1.0,0.6,1.4,11.8,22.9
Patty Mills,2.5,11.5,0.5,0.0,0.0,0.2,0.2,3.2,4.0
Paul George,16.0,38.8,7.8,4.6,1.2,0.5,3.3,23.5,41.8
Paul Millsap,9.7,14.1,3.2,1.3,0.3,0.4,0.7,4.8,12.0
Paul Reed,8.7,9.9,4.0,0.5,0.4,0.4,0.4,3.2,10.8
Paul Watson,2.0,4.5,0.0,0.5,0.5,0.0,0.0,1.0,3.2
Payton Pritchard,13.0,10.7,1.4,1.7,0.3,0.0,0.5,3.8,8.5
Peyton Watson,5.0,2.8,0.8,0.2,0.0,0.2,0.2,1.0,2.7
Precious Achiuwa,4.5,15.9,3.4,0.5,0.1,0.8,1.4,6.2,12.2
Quentin Grimes,9.0,26.9,2.8,1.4,1.0,0.6,1.1,5.1,14.3
Quinn Cook,6.0,4.0,0.2,0.8,0.0,0.0,0.2,2.2,3.4
RJ Barrett,8.0,33.3,5.8,2.9,0.8,0.3,1.3,16.8,30.2
Rajon Rondo,14.5,20.8,3.4,5.2,0.9,0.2,1.6,6.6,20.0
Raul Neto,3.0,13.0,1.2,1.0,0.3,0.0,0.6,3.6,6.9
Rayjon Tucker,3.7,3.3,0.1,0.0,0.0,0.0,0.2,1.3,1.3
Reggie Bullock,11.5,35.8,4.0,1.4,0.9,0.2,0.6,9.7,19.2
Reggie Jackson,12.3,16.6,1.8,1.5,0.4,0.1,0.7,7.7,13.1
Reggie Perry,5.0,4.4,1.2,0.2,0.2,0.0,0.6,3.2,4.9
Ricky Rubio,3.0,5.7,2.0,1.0,0.3,0.0,1.7,0.0,3.1
Robert Covington,6.7,25.2,4.6,1.2,1.3,0.9,0.8,6.8,19.9
Robert Williams,13.2,17.7,5.3,0.9,0.4,1.8,0.6,6.4,20.0
Robin Lopez,3.3,8.2,1.2,0.0,0.0,0.3,0.2,4.5,6.5
Rodions Kurucs,4.0,14.5,3.3,0.8,0.3,0.5,0.8,5.5,12.3
Rodney McGruder,5.0,3.2,0.8,0.4,0.0,0.0,0.0,1.6,3.2
Romeo Langford,5.5,17.0,1.4,0.8,0.4,0.2,0.3,5.2,9.9
Rondae Hollis-Jefferson,5.0,7.5,1.8,0.3,0.3,0.2,0.1,2.4,6.4
Royce O'Neale,7.0,33.3,5.7,2.4,1.0,0.3,1.0,7.0,20.5
Rudy Gobert,7.2,35.2,12.3,1.1,0.4,1.4,1.4,14.6,35.0
Rui Hachimura,10.5,29.4,5.4,0.8,0.4,0.2,0.8,13.5,22.5
Russell Westbrook,6.0,36.1,8.3,7.9,1.0,0.6,4.0,20.2,43.1
Saddiq Bey,6.0,22.2,4.0,1.0,0.5,0.0,0.3,7.5,15.0
Sam Hauser,11.0,4.5,0.6,0.3,0.0,0.0,0.0,1.4,2.8
Sam Merrill,8.0,3.8,0.6,0.1,0.5,0.0,0.1,0.6,2.9
Santi Aldama,6.0,16.8,4.3,1.2,0.5,0.0,0.3,6.5,14.7
Scottie Barnes,4.0,33.3,9.0,4.3,1.0,0.3,1.3,12.8,32.6
Semi Ojeleye,7.5,7.7,0.4,0.0,0.4,0.2,0.0,1.0,3.4
Serge Ibaka,6.3,11.8,3.8,0.7,0.2,0.9,0.6,7.1,15.6
Seth Curry,6.2,28.2,1.9,2.2,0.5,0.3,0.8,13.6,20.7
Shai Gilgeous-Alexander,7.0,39.9,5.3,4.1,1.0,0.4,2.1,16.3,30.9
Shake Milton,8.5,14.6,1.5,1.2,0.4,0.1,0.8,6.3,10.7
Shaquille Harrison,8.5,4.0,0.6,0.7,0.3,0.2,0.3,1.2,4.0
Skylar Mays,4.5,3.4,0.4,0.3,0.4,0.0,0.0,1.0,3.1
Solomon Hill,10.5,8.2,1.2,0.3,0.1,0.0,0.0,1.4,3.7
Spencer Dinwiddie,11.0,33.8,2.8,5.0,1.0,0.3,2.3,15.4,28.1
Stanley Johnson,3.0,6.7,1.3,2.0,0.0,0.0,0.3,4.3,8.6
Stephen Curry,17.5,36.3,5.2,6.0,1.2,0.4,2.9,29.0,46.1
Sterling Brown,5.0,3.4,1.0,0.2,0.2,0.1,0.2,0.6,2.7
